SENTENCE,FOS CODE
সকলেরই চোখ ক্রমে বিজড়িত হ’য়ে যেন আসে; যদিও আকাশ সিন্ধু ভ’রে গেল অগ্নির উল্লাসে; যেমন যখন বিকেলবেলা কাটা হয় খেতের গোধূম চিলের কান্নার মতো শব্দ ক’রে মেঠো ইঁদুরের ভিড় ফসলের ঘুম  গাঢ় ক’রে দিয়ে যায়।,"1, 2"
একবার কথা ক’য়ে দেশ আর দিকের দেবতা বোবা হয়ে পড়ে থাকে—ভুলে যায় কথা; যে-আগুন উঠেছিলো তাদের চোখের তলে জ্ব”লে নিভে যায়—ডুবে যায়—তারা যায় স্খ’লে।,3
"                                   বাইরে রাত্রি তারায় তারাময়,                              ফেনিল সুনীল তেপান্তরে মরণ-ঘেরা ভয়।",2
রানিগঞ্জের অর্জুনপটির বাঁকে যেখান দিয়ে নিতুই সাঁঝে ঝাঁকে ঝাঁকে রাজার বাঁধে জল নিতে যায় শহুরে বউ কলস কাঁখে – সেই সে বাঁকের শেষে তিন দিক হতে তিনটে রাস্তা এসে ত্রিবেণির ত্রিধারার মতো গেছে একেই মিশে।,1
তোমার রূপের রঙ যেন সন্ধ্যার রক্ত কমল।,1
একটি আলোক নিয়ে ব’সে থাকা চিরদিন; নদীর জলের মতো স্বচ্ছ এক প্রত্যাশাকে নিয়ে; সে-সবের দিন শেষ হ’য়ে গেছে এখন সৃষ্টির মনে— অথবা মনীষীদের প্রাণের ভিতরে।,1
তাদের ফলন্ত দেহ শুষে ল’য়ে জন্মিয়াছে আজ এই খেতের ফসল; অনেক দিনের গন্ধে ভরা ওই ইঁদুরেরা জানে তাহা—জানে তাহা নরম রাতের হাতে ঝরা এই শিশিরের জল!,3
                          পাকুড়তলির মাঠে                     বামুনমারা দিঘির ঘাটে                  আদিবিশ্ব-ঠাকুরমায়ের আস্‌মানি এক চেলা                            ঠিক দুক্ষুর বেলা                         বেগ্‌নি-সোনা দিক্‌-আঙিনার কোণে                     ব ”সে ব ”সে ভুঁইজোড়া এক চাটাই বোনে                            হলদে রঙের শুকনো ঘাসে।,0
তারপর চ’লে যায় কোথায় আকাশে?,3
"              পুরোনো আমড়াগাছ হেলে আছে                     পাঁচিলের কাছে,                  দীর্ঘ আয়ু বহন করিছে তার          পুঞ্জিত নিঃশব্দ স্মৃতি বসন্তবর্ষার।",2
        মাস্টারি-শাসনদুর্গে সিঁধকাটা ছেলে                     ক্লাসের কর্তব্য ফেলে          জানি না কী টানে  ছুটিতাম অন্দরের উপেক্ষিত নির্জন বাগানে।,0
"               একদিন এই হতভাগা কোথা থেকে পেল                            কতকগুলো রঙিন পুঁথি ;                     ভাবলে, চমক লাগিয়ে দেবে।",0
"আজ এই বসন্তের রাতে ঘুমে চোখ চায় না জড়াতে; ওই দিকে শোনা যায় সমুদ্রের স্বর, স্কাইলাইট মাথার উপর, আকাশে পাখিরা কথা কয় পরস্পর",3
তোমার সুর বৃষ্টির পর ঠান্ডা মাটির ঘ্রাণ।,1
  ক্ষয় হয়ে আসে অর্থ তার                           যাহা আছে জমে।,2
"অনেক উঁচু থেকে যে এই পৃথিবীটাকে দেখেছে লুণ্ঠনের অবাধ উপনিবেশ ; যার শ্যেন দৃষ্টিতে কেবল ছিল তীব্র লোভ আর ছোঁ মারার দস্যু প্রবৃত্তি– তাকে দেখলাম, ফুটপাতে মুখ গুঁজে প’ড়ে।",3
"আজকে যখন স্বাধীন হবার শেষ লড়াইয়ের ডঙ্কা উঠেছে বেজে, কোনোদিকেই নেইকো কোনো শঙ্কা; জব্বলপুরে সেপাইদেরও উঠছে বেজে বাদ্য নতুন ক’রে বিদ্রোহ আজ, কেউ নয়কো বাধ্য, তখন এঁদের স্মরণ করো, স্মরণ করো নিত্য— এঁদের নামে, এঁদের পণে শানিয়ে তোলো চিত্ত।",3
"  আমার সকল খেলা, সব কাজে,      এ ভূমি জড়িত আছে শাশ্বতের যেন সে লিখন।",1
তুমি যেন গ্রীষ্ম দিনের শীতল ছায়া।,1
"                         থাকে থাকে দেরাজের                       এলোমেলো ভরা আছে ঢের                           কাগজপত্তর নানামতো,                       ফেলে দিতে ভুলে যাই কত,                 জানি নে কী জানি কোন্‌ আছে দরকার।",0
"           কোন্‌ বিচারক বিচার করবে যে, মূল্য আছে                                  সেই পুঁথিগুলোর।",0
"গলে গলে পড়ছে বরফ– ঝরে ঝরে পড়ছে জীবনের স্পন্দন : শ্যামল আর সমতল মাটির স্পর্শ লেগেছে ওর মুখে, দক্ষিণ সমুদ্রের হাওয়ায় উড়ছে ওর চুল : আন্দোলিত শাল, পাইন আর দেবদারুর বনে ঝড়ের পক্ষে আজ সুস্পষ্ট সম্মতি।",3
"সেই বিশ্রী দম-আটকানো কুয়াশা আর নেই নেই সেই একটানা তুষার-বৃষ্টি, হঠাৎ জেগে উঠেছে— সূর্যের ছোঁয়ায় চমকে উঠেছে ভূস্বর্গ।",3
"                   শাস্ত্রমানা আস্তিকতা ধুলোতে যায় উড়ে —                 “ উপায় নাই রে, নাই প্রতিকার ” বাজে আকাশ জুড়ে।",2
একদিন মনে হ’তো জলের মতন তুমি।,1
"তোর মুখে পাখিদের শুনিয়া সংগীত,       নির্ঝরের শুনিয়া ঝর্ঝর, গভীর রহস্যময় অরণ্যের গান,       বালকের মধুমাখা স্বর, তোর মুখে জগতের সংগীত শুনিয়া,       তোরে আমি ভালোবাসিয়াছি; তবু কেন তোরে আমি দেখিতে না পাই,       বিশ্বময় তোরে খুঁজিয়াছি।",10
সৃষ্টির ভিতরে তবু কিছুই সুদীর্ঘতম নয়— এই জ্ঞানে লোকসানী বাজারের বাক্সের আতাফল মারীগুটিকার মতো পেকে নিজের বীজের তরে জোর ক’রে সূর্যকে নিয়ে আসে ডেকে।,3
"একবার করো মনে আঁধারের সংগোপনে  কী গভীর কলরব,চেতনার ছেলেখেলা,  সমস্ত জগৎ ব্যেপে স্বপনের মহামেলা।",2
"                            মনে ভাবি, আমি সেই রবি,                 স্পষ্ট আর অস্পষ্টের উপাদানে ঠাসা                       ঘরের মতন ; ঝাপ্‌সা পুরানো ছেঁড়া ভাষা                           আসবাবগুলো যেন আছে অন্যমনে।",2
সূর্যের আলোর দিন ছেড়ে দিয়ে পৃথিবীর যশ পিছে ফেলে শহর—বন্দর—বস্তি—কারখানা দেশলাইয়ে জ্বেলে আসিয়াছি নেমে এই খেতে; শরীরের অবসাদ–হৃদয়ের জ্বর ভুলে যেতে।,3
"                       এক দিকে দূর আকাশের সাথে                                     দিনে রাতে                          চলে তার আলোকছায়ার আলাপন,                     অন্য দিকে দূর নিঃশব্দের তলে নিমজ্জন                                     কিসের সন্ধানে                          অবিচ্ছিন্ন প্রচ্ছন্নের পানে।",2
"                 সে শুধাল, নম্বর তার কত।",0
"                      সুদূর কালের দারুণ ছড়াটিকে                 স্পষ্ট করে দেখি নে আজ, ছবিটা তার ফিকে।",2
"   কী আছে জানি না দিন-অবসানে মৃত্যুর অবশেষে ;                     এ প্রাণের কোনো ছায়া  শেষ আলো দিয়ে ফেলিবে কি রঙ অন্তরবির দেশে,                     রচিবে কি কোনো মায়া।",2
                 হোথা হতে তাই মনে দিত সাড়া                                     সময়ের বন্ধ-ছাড়া                           ইতিহাস-পলাতক কাহিনীর কত                               সৃষ্টিছাড়া সৃষ্টি নানামতো।,2
"              একদিন শিলবৃষ্টির মধ্যে আম কুড়িয়ে এনেছিলুম ;                 ও বলল, “ কে বলেছে তোমাকে আনতে। ”",0
"আগুন হয়ে সারাটা দেশ ফেটে পড়ল রাগে, ছেলে বুড়ো জেগে উঠল নব্বই সন আগে : একশো বছর গোলামিতে সবাই তখন ক্ষিপ্ত, বিদেশীদের রক্ত পেলে তবেই হবে তৃপ্ত!",3
           স্নান করতে সেটা পড়ে গেল গঙ্গার জলে —                     খুঁজে পাই নি।,0
"            গা ঘেঁষে কে গেল চলে ড্রেসিং-গাউন-পরা,                         স্নানের ঘরে জায়গা পাবার ত্বরা।",0
"রজনীর তারা            তোমার আকাশদুষ্ট জাতিচ্যুত, নষ্ট মন্ত্র তার,                           বিক্ষুব্ধ নিদ্রার                 আলোড়নে ধ্যান তার অস্বচ্ছ আবিল,                           হারালো সে মিল                 পূজাগন্ধী নন্দনের পারিজাত - সাথে                              শান্তিহীন রাতে।",2
"         ওগো মিতা মোর, অনেক দূরের মিতা,            আমার ভবনদ্বারে            রোপণ করিলে যারে       সজল হাওয়ার করুণ পরশে                     সে মালতী বিকশিতা—                        ওগো, সে কি তুমি জানো।",2
             তারে চিনাইতে  মালীর নিপুণতার প্রয়োজন কিছু ছিল নাকো।,0
         চারি দিকে সোনার ধান ফলেছে।,2
﻿(আমাদের পূর্বপুরুষেরা কোন্ বাতাসের শব্দ শুনেছিলো; তারপর হয়েছিলো পাথরের মতন নীরব?,1
"এই হেমন্তে কাটা হবে ধান, আবার শূন্য গোলায় ডাকবে ফসলের বান– পৌষপার্বণে প্রাণ-কোলাহলে ভরবে গ্রামের নীরব শ্মশান।",3
"   হঠাৎ যবে হেনকালে            আবেশকুহেলিকাজালে                     অরুণরেখা ছিদ্র দেয় আনি            আমার নব পরিচয়                     চমকি উঠে মনোময়—                               নূতন সে যে, নূতন তারে জানি।",2
      প্রাণে মিলাইতে প্রাণ      সে বয়সে নাহি ছিল ব্যবধান ;  নিরুদ্ধ করে নি পথ ভাবনার স্তূপ ;          গাছের স্বরূপ  সহজে অন্তর মোর করিত পরশ।,2
"চিরকাল---চিরকাল----        তুই কি রে চিরকাল            সেই দূরে রবি, আধো সুরে গাবি শুধু গীতের আভাস,            তুই চিরকবি।",10
"শুয়েছে ভোরের রোদ ধানের উপরে মাথা পেতে অলস গেঁয়োর মতো এইখানে কার্তিকের খেতে; মাঠের ঘাসের গন্ধ বুকে তার—চোখে তার শিশিরের ঘ্রাণ, তাহার আস্বাদ পেয়ে অবসাদে পেকে ওঠে ধান, দেহের স্বাদের কথা কয়; বিকালের আলো এসে (হয়তো বা) নষ্ট ক’রে দেবে তার সাধের সময়     চারিদিকে এখন সকাল— রোদের নরম রং শিশুর গালের মতো লাল; মাঠের ঘাসের ’পরে শৈশবের ঘ্রাণ— পাড়াগাঁর পথে ক্ষান্ত উৎসবের এসেছে আহ্বান।",1
"               সামনে রয়েছে কিছু, কিছু লুকিয়েছে কোণে কোণে।",0
          বুকের ভিতরে ওর পিছু হতে দেয় দোল                     আশৈশব-পরিচিত দূর সংসারের কলরোল            প্রত্যাখ্যাত জীবনের প্রতিহত আশা  অজানার নিরুদ্দেশে প্রদোষ খুঁজিতে চলে বাসা।,2
"সেই আদি অরণির যুগ থেকে শুরু ক’রে আজ অনেক মনীষা, প্রেম, নিমীল ফসলরাশি ঘরে    ﻿এসে গেছে মানুষের বেদনা ও সংবেদনাময়।",3
"           এখনো কাঁচা আম পড়ছে খসে খসে                 গাছের তলায়, বছরের পর বছর।",0
"দুন্দুভি তোর বাজল অনেক অনেক শঙ্খ ঘন্টা কাঁসর, মুখস্থ তোর মন্ত্ররোলে মুখর আজি পূজার আসর, − কুম্ভকর্ণ দেবতা ঠাকুর জাগবে কখন সেই ভরসায় যুদ্ধভূমি ত্যাগ করে সব ধন্না দিলি দেব-দরজায়।",2
"                          হঠাৎ কেন খেয়াল গেল মিছে,                   জাহাজখানা ঘুরে আসি উপর থেকে নীচে।",0
তোমার সুরের আকাশে গানে গানে মেঘ করে।,1
"                       সেই মৌনী বনস্পতি          সুবৃহৎ আলস্যের ছদ্মবেশে অলক্ষিতগতি        সূক্ষ্ম সম্বন্ধের জাল প্রসারিছে নিত্যই আকাশে,                     মাটিতে বাতাসে,                লক্ষ লক্ষ পল্লবের পাত্র লয়ে          তেজের ভোজের পানালয়ে।",2
"যদিও গিয়েছে ঢের ক্যারাভান ম’রে, মশালের কেরোসিনে মানুষেরা অনেক পাহারা দিয়ে গেছে তেল, সোনা, কয়লা ও রমণীকে চেয়ে; চিরদিন এই সব হৃদয় ও রুধিরের ধারা।",2
নাহয় না দিলি       একটি কি পুরাবি না আশ?,10
"আমারে করিলি তুই আকুল ব্যাকুল,       তোর লাগি কাঁদে মোর বীণা।",10
                 আমি তাকে শুধাই আমার ক্যাবিন-ঘরের পথ                                    নেহাত থতোমতো।,0
                   ওকে আর খুঁজে পাবার পথ নেই।,0
"হাজার বছর শুধু খেলা করে অন্ধকারে জোনাকির মতো: চারিদিকে পিরামিড— কাফনের ঘ্রাণ; বালির উপরে জ্যোৎস্না— খেজুর-ছায়ারা ইতস্তত বিচূর্ণ থামের মতো: এশিরিয়— দাঁড়ায়ে রয়েছে মৃত, ম্লান।",1
"তাই আজ কাল-বৈশাখীর পতাকা উড়ছে ক্ষুব্ধ কাশ্মীরের উদ্দাম হাওয়ায় হাওয়ায় ; দুলে দুলে উঠছে লক্ষ লক্ষ বছর ধরে ঘুমন্ত, নিস্তব্ধ বিরাট ব্যাপ্ত হিমালয়ের অসহিষ্ণু বুক।",2
                                  যাহা ফেলিবার                 ফেলে দিতে মনে নেই।,0
"                        তীরে যত গাছপালা পশুপাখি                       তারা আছে অন্যলোকে, এ শুধু একাকী।",0
"               ওই তরু ওই লতা ওরা সবে              মুখরিত কুসুমে ও পল্লবে—    সেই মহাবাণীময় গহনমৌনতলে              নির্বাক স্থলে জলে              শুনি আদি - ওংকার,    শুনি মূক গুঞ্জন অগোচর চেতনার।",3
তোমার বিদ্রোহ উত্তাল সমুদ্রের ঢেউ।,1
"চারিপাশে বনের বিস্ময়, চৈত্রের বাতাস, জ্যোৎস্নার শরীরের স্বাদ যেন; ঘাইমৃগী সারারাত ডাকে; কোথাও অনেক বনে—যেইখানে জ্যোৎস্না আর নাই পুরুষহরিণ সব শুনিতেছে শব্দ তার; তাহারা পেতেছে টের, আসিতেছে তার দিকে।",3
"জোছনায় ফুলবনে একাকী বসিয়া থাকি,        আঁখি দিয়া অশ্রুবারি ঝরে-- বল্‌ মোরে বল্‌ অয়ি মোহিনী ছলনা,        সে কি তোরি তরে?",10
                       পিতলের ফুলদানিটাকে                 বহে নিয়ে টিপাইটা এক কোণে মুখ ঢেকে থাকে।,3
"যেন সব অন্ধকার সমুদ্রের ক্লান্ত নাবিকেরা মক্ষিকার গুঞ্জনের মতো এক বিহ্বল বাতাসে ভূমধ্যসাগরলীন দূর এক সভ্যতার থেকে আজকের নব সভ্যতায় ফিরে আসে; তুমি সেই অপরূপ সিন্ধু রাত্রি মৃতদের রোল দেহ দিয়ে ভালোবেসে, তবু আজ ভোরের কল্লোল।",1
"        ইস্‌টিমারের ক্যাবিনটাতে কবে নিলেম ঠাঁই,                                    স্পষ্ট মনে নাই।",0
"                      টেবিলে হেলানো ক্যালেণ্ডার,                 হঠাৎ ঠাহর হল আটই তারিখ।",0
"                   একটা লাউয়ের মাচা  কবে যত্ন ছিল কারো, ভাঙা চিহ্ন রেখে গেছে পাছে।",0
"তাদের অন্তরে স্বপ্ন, শুধু স্বপ্ন জন্ম লয় সকল সময় …  পৃথিবীর দেয়ালের ’পরে আঁকাবাঁকা অসংখ্য অক্ষরে একবার লিখিয়াছি অন্তরের কথা— সে-সব ব্যর্থতা আলো আর অন্ধকারে গিয়াছে মুছিয়া; দিনের উজ্জ্বল পথ ছেড়ে দিয়ে ধূসর স্বপ্নের দেশে গিয়া হৃদয়ের আকাঙ্ক্ষার নদী ঢেউ তুলে তৃপ্তি পায়— ঢেউ তুলে তৃপ্তি পায় যদি, তবে ওই পৃথিবীর দেয়ালের ’পরে লিখিতে ষেও না তুমি অস্পষ্ট অক্ষরে অন্তরের কথা; আলো আর অন্ধকারে মুছে যায় সে-সব ব্যর্থতা।",3
"নয়ন মুদিনু ধীরে—শেষ আলো নিভে গেল পলাতক নীলিমার পারে, সদ্য-প্রসূতির মতো অন্ধকার বসুন্ধরা আবরি আমারে।",1
"চেয়েছে মাটির দিকে— ভূগর্ভে তেলের দিকে সমস্ত মাথার ঘাম পায়ে ফেলে অবিরল যারা, মাথার উপরে চেয়ে দেখেছে এবার; দূরবীনে কিমাকার সিংহের সাড়া পাওয়া যায় শরতের নির্মেঘ রাতে।",3
                       ওই যে অন্ধ কলুবুড়ির কান্না শুনি —                      কদিন হল জানি নে কোন্‌ গোঁয়ার খুনি                            সমত্থ তার নাতনিটিকে                     কেড়ে নিয়ে ভেগেছে কোন্‌ দিকে।,0
             বিশীর্ণ গোলকচাঁপা-গাছে                     পাতাশূন্য ডাল  অভুগ্নের ক্লিষ্ট ইশারার মতো।,1
"                          দুয়ার-দেওয়া যেন বাসরঘরে                        ফুলশয্যার গোপন রাতে কানাকানি করে,                                   অনুমানেই জানি,                             আভাসমাত্র না পাই তাহার বাণী।",0
তোমার আঁখি দুটি যেন নদীর অতল গভীরতা।,1
                        চেনাশোনা হাসি-আলাপ মদের ফেনার মতো                              বুদ্‌বুদিয়া ওঠে আবার গভীরে হয় গত।,1
"                             আমি বললেম যেই,                          নম্বরটা মনে আমার নেই —                   একটু হেসে নিরুত্তরে গেল আপন কাজে,                         ঘেমে উঠি উদ্‌বেগে আর লাজে।",0
"তাহার পায়ের নিচে তৃণের নিকটে তৃণ মূক অপেক্ষায়; তাহার মাথার ’পরে সূর্য, স্বাতী, সরমার ভিড়; এদের নৃত্যের রোলে অবহিত হ’য়ে থেকে ক্রমে একদিন কবে তার ক্ষুদ্র হেমন্তের বেলা হবে নিসর্গের চেয়েও প্রবীণ?",3
"                                   পাশাপাশি তারি                                          আরো ক্যাবিন সারি সারি                                               নম্বরে চিহ্নিত,                   একই রকম খোপ সেগুলোর দেয়ালে ভিন্নিত।",0
"                   মনের মধ্যে বেঁধে না তার ছুরি,                 সময় তাহার ব্যথার মূল্য সব করেছে চুরি।",3
"                  জমিদারের বুড়ো হাতি হেলে দুলে চলেছে বাঁশতলায়,                             ঢঙ্‌ঢঙিয়ে ঘন্টা দোলে গলায়।",0
দেখা তুই দিবি না কি?,10
"আকাশ ছায়ার ঢেউয়ে ঢেকে, সারা দিন— সারা রাত্রি অপেক্ষায় থেকে, পৃথিবীর যত ব্যথা— বিরোধ— বাস্তব হৃদয় ভুলিয়া যায় সব; চাহিয়াছে অন্তর যে-ভাষা, যেই ইচ্ছা— যেই ভালোবাসা খুঁজিয়াছে পৃথিবীর পারে-পারে গিয়া— স্বপ্নে তাহা সত্য হ’য়ে উঠেছে ফলিয়া।","2, 3"
"                       গান নাই, শব্দের তরণী হোথা ডোবা,                                           প্রাণ হোথা বোবা।",2
তোমার হাসি চাঁদের আলোয় ভেজা একটি শিউলি ফুল।,1
"                                  সেই পুকুরের                          ছিনু আমি দোসর দূরের                                      বাতায়নে বসি নিরালায়,                     বন্দী মোরা উভয়েই জগতের ভিন্ন কিনারায় ;                          তার পরে দেখিলাম, এ পুকুর এও বাতায়ন —                    এক দিকে সীমা বাঁধা, অন্য দিকে মুক্ত সারাক্ষণ।",2
তোমার স্পর্শ শীতের সকালে উষ্ণ সূর্যের মতো।,1
"                          ওই যে দেয়ালে  ছবিগুলো হেথা হোথা, রেখেছিনু কোনো-এক কালে ;                 আজ তারা ভুলে-যাওয়া,                           যেন ভূতে-পাওয়া,                       কার্পেটের ডিজাইন                 স্পষ্টভাষা বলেছিল একদিন ;                              আজ অন্যরূপ,                                    প্রায় তারা চুপ।",3
"সেইখানে একবার বসাইবি মোরে       সেই মহা-আঁধার নিশায়, শুনিব রে আঁখি মুদি বিশ্বের সংগীত       তোর মুখে কেমন শুনায়।",10
তোমার বিদ্রোহ যেন সাগরের উত্তাল ঢেউ।,1
তোমার দৃষ্টি পাহাড়ের চূড়ায় জমে থাকা কুয়াশা।,1
"               আয়না-ফ্রেমের তলে ছেলেবেলাকার ফোটোগ্রাফ                       কে রেখেছে, ফিকে হয়ে গেছে তার ছাপ।",0
"সকল সময়     স্বপ্ন— শুধু স্বপ্ন জন্ম লয় যাদের অন্তরে, পরস্পরে যারা হাত ধরে নিরালা ঢেউয়ের পাশে-পাশে— গোধূলির অস্পষ্ট আকাশে যাহাদের আকাঙ্ক্ষার জন্ম— মৃত্যু— সব— পৃথিবীর দিন আর রাত্রির রব শোনে না তাহারা; সন্ধ্যার নদীর জল— পাথরে জলের ধারা আয়নার মতো জাগিয়া উঠিছে ইতস্তত তাহাদের তরে।",3
"               জানা অজানার মাঝে সরু এক চৈতন্যের সাঁকো,                              ক্ষণে ক্ষণে অন্যমনা                           তারি”পরে চলে আনাগোনা।",2
ভোরের স্ফটিক রৌদ্রে নগরী মলিন হ’য়ে আসে।,3
                       যে লোভী চিরে চিরে ওকে খায়                            সে দেখতে পায় নি ওর অপরূপ রূপ।,0
"               জাগা মনের কোন্‌ কুয়াশা স্বপ্নেতে যায় ব্যেপে,                      ধোঁয়াটে এক কম্বলেতে ঘুমকে ধরে চেপে,                          রক্তে নাচে ছড়ার ছন্দে মিলে —                     “ ঢাকিরা ঢাক বাজায় খালে বিলে। ”",2
"                       ক্যাবিনেটে কী যে আছে কত,                            না জানার ই মতো।",0
তোমার ভালবাসা যেন বসন্তের ফুলের সুবাস।,1
মোর গানের মালা তুমি পরো যেন তাজ।,1
