ID,SENTENCE,FOS CODE,SL. No. Figure of Speech Class Label
MMD31,অবিরাম গতি স্রোতে বাঁধিল কৌশলে যে রাম; ভাসিল শিলা যার মায়াতেজে জলমুখে; বাঁচিল যে দুইবার মরি সমরে; অসাধ্য তার কি আছে জগতে?,0,
MMD32,"কহ শুনি, মন্ত্রিবর, কি ঘটিল এবে?”",0,
MMD33,"করপুটি মন্ত্রিবর উত্তরিলা খেদে;— “কে বুঝে দেবের মায়া এ মায়াসংসারে, রাজেন্দ্র?",0,
MMD34,"গন্ধমাদন, শৈলকুলপতি, দেবাত্মা আপনি আসি গত নিশাকালে, মহৌষধিদানে, প্রভু বাঁচাইলা পুনঃ লক্ষ্মণে; তেঁই সে সৈন্য নাদিছে উল্লাসে।",0,
MMD35,"হিমান্তে দ্বিগুণতেজঃ ভুজঙ্গ যেমতি, গরজে সৌমিত্রি-শূর—মত্ত বীরমদে; গরজে সুগ্রীবসহ দাক্ষিণাত্য যত, যথা করিযূথ, নাথ!",0,
MMD36,শুনি যূথনাদে!”,0,
MMD37,বিষাদে নিশ্বাস ছাড়ি কহিলা সুরথী লঙ্কেশ;—“বিধির বিধি কে পারে খণ্ডাতে?,0,
MMD38,"বিমুখি অমর-মরে, সম্মুখ সমরে বধিনু যে রিপু আমি, বাঁচিল সে পুনঃ দৈববলে?","3, 2",
MMD39,"হে সারণ, মম ভাগ্যদোষে, ভুলিলা স্বধর্ম্ম আজি কৃতান্ত আপনি।",0,
MMD40,গ্রাসিলে কুরঙ্গে সিংহ ছাড়ে কি হে কভু তাহায়?,0,
MMD41,কি কাজ কিন্তু এ বৃথা বিলাপে?,0,
MMD42,"বুঝিনু নিশ্চয় আমি, ডুবিল তিমিরে কর্ব্বুর-গৌরব-রবি।",2,
MMD43,"মরিল সংগ্রামে শূলিশম্ভুসম ভাই কুম্ভকর্ণ মম, কুমার বাসবজয়ী, দ্বিতীয় জগতে শক্তিধর।",1,
MMD44,প্রাণ আমি ধরি কোন্ সাধে?,0,
MMD45,আর কি এ দোঁহে ফিরি পাব ভবতলে?,0,
MMD46,"যাও তুমি, হে সারণ!",0,
MMD47,"যথায় সুরথী রাখব;—কহিও শূরে—“রক্ষঃকুলনিধি রাবণ, হে মহাবাহু!",2,
MMD48,"এই ভিক্ষা মাগে তব কাছে,—তিষ্ঠ তুমি সসৈন্যে এ দেশে সপ্তদিন, বৈরিভাব পরিহরি, রথি!",0,
MMD49,পুত্ত্রে র সৎক্রিয়া রাজা ইচ্ছেন সাধিতে যথাবিধি।,0,
MMD50,"বীরধর্ম্ম পাল, রঘুপতি!",0,
MMD51,বিপক্ষ সুবীরে বীর সম্মানে সতত।,0,
MMD52,"তব বাহুবলে, বলি!",0,
MMD53,বীরশূন্য এবে বীরযোনি স্বর্ণলঙ্কা।,3,
MMD54,ধন্য বীরকুলে তুমি!,0,
MMD55,শুভক্ষণে ধনু ধরিলা নৃমণি!,0,
MMD56,"অনুকূল তব প্রতি শুভদাতা বিধি; দৈববশে রক্ষঃপতি পতিত বিপদে; পর-মনোরথ আজি পূরাও, সুরথি!",6,
MMD57,"যাও শীঘ্র, মন্ত্রিবর!",0,
MMD58,রামের শিবিরে।”,0,
MMD59,"বন্দি রক্ষঃকুল-ইন্দ্রে, সঙ্গিদল-সহ, চলিলা সচিবশ্রেষ্ঠ।",0,
MMD60,"অমনি খুলিল ভীষণ নিনাদে দ্বার, দ্বারপাল যত।",0,
MMD61,ধীরে ধীরে রক্ষোমন্ত্রী চলিলা বিষাদে; চির-কোলাহলময় পয়োনিধি-তীরে।,0,
MMD62,"শিবিরে বসেন প্রভু রঘুকুলমণি, আনন্দসাগরে মগ্ন; সম্মুখে সৌমিত্রি রথীশ্বর, যথা তরু হিমানীবিহনে নবরস; পূর্ণশশী সুহাস আকাশে পূর্ণিমায়; কিম্বা পদ্ম, নিশা অবসানে, প্রফুল্ল।","1, 3",
MMD63,"দক্ষিণে রক্ষঃ বিভীষণ বলী মিত্র, আর নেতৃ যত—দুর্দ্ধর্ষ সংগ্রামে— দেবেন্দ্রে বেড়িয়া যেন দেবকুলরথী!",0,
MMD64,"কহিল সংক্ষেপে বার্ত্তা বার্ত্তাবহ ত্বরা;— “রক্ষঃকুলমন্ত্রী, দেব!",0,
MMD65,"বিখ্যাত জগতে, সারণ, শিবিরদ্বারে সঙ্গিদল সহ;— কি আজ্ঞা তোমার, দাসে কহ নরমণি!”",1,
MMD66,"আদেশিলা রঘুবর;—“আন ত্বরা করি, বার্ত্তাবহ!",0,
MMD67,মন্ত্রীবরে সাদরে এ স্থলে।,0,
MMD68,কে না জানে দূতকুল অবধ্য সমরে?”,0,
MMD69,"প্রবেশি শিবিরে তবে সারণ কহিলা;— (বন্দি রাজপদযুগ) “রক্ষঃকুলনিধি রাবণ, হে মহাবাহু, এই ভিক্ষা মাগে তব কাছে,—তিষ্ঠ তুমি সসৈন্যে এ দেশে সপ্তদিন, বৈরিভাব পরিহরি, রথি!",0,
MMD70,পুত্ত্রের সৎক্রিয়া রাজা ইচ্ছেন সাধিতে যথাবিধি!,0,
MMD71,বীরধর্ম্ম পাল রঘুপতি!,0,
MMD72,বিপক্ষ সুবীরে বীর সম্মানে সতত।,0,
MMD73,"তব রাহুবলে, বলি!",0,
MMD74,বীরশূন্য এবে বীরযোনি স্বর্ণলঙ্কা।,3,
MMD75,ধন্য বীরকুলে তুমি!,0,
MMD76,শুভক্ষণে ধনু ধরিলা নৃমণি!,1,
MMD77,অনুকুল তব প্রতি শুভদাতা বিধি; দৈববশে রক্ষঃপতি পতিত বিপদে;— পর-মনোরথ আজি পূরাও সুরথি।”,6,
MMD78,"উত্তরিলা রঘুনাথ;— “পরমারি মম, হে সারণ, প্রভু তব; তবু তাঁর দুঃখে পরম দুঃখিত আমি, কহিনু তোমারে।",0,
MMD79,রাহুগ্রাসে হেরি সূর্য্যে কার না বিদরে হৃদয়?,2,
MMD80,"যে তরুরাজ জ্বলে তাঁর তেজে অরণ্যে, মলিনমুখ সেও হে সে কালে।",6,
MMD81,"বিপদে অপর পর সম মম কাছে, মন্ত্রিবর!",0,
MMD82,"যাও ফিরি স্বর্ণলঙ্কাধামে তুমি, না ধরিব অস্ত্র সপ্তদিন আমি সসৈন্যে।",0,
MMD83,"কহিও, বুধ, রক্ষঃকুলনাথে, ধর্ম্মকর্ম্মে রত জনে কভু না প্রহারে ধার্ম্মিক।”",0,
MMD84,"এতেক কহি নীরবিলা বলী নতভাবে রক্ষোমন্ত্রী কহিলা উত্তরি;— “নরকুলোত্তম তুমি রঘুকুলমণি; বিদ্যা, বুদ্ধি, বাহুবলে অতুল জগতে।",1,
MMD85,"উচিত এ কর্ম্ম তব, শুন মহামতি!",0,
MMD86,অনুচিত কর্ম্ম কভু করে কি সুজনে?,0,
MMD87,"যথা রক্ষঃদলপতি নৈকষেয় বলী; নরদলপতি তুমি, রাঘব!",0,
MMD88,"কুক্ষণে— ক্ষম এ আক্ষেপ, রথি!",0,
MMD89,মিনতি ও পদে— কুক্ষণে ভেটিলে দোঁহা দোঁহে রিপুভাবে!,0,
MMD90,বিধির নির্ব্বন্ধ কিন্তু কে পারে খণ্ডাতে?,0,
MMD91,"যে বিধি, হে মহাবাহু, সৃজিলা পবনে সিন্ধু-অরি; মৃগ-ইন্দ্রে গজ-ইন্দ্র-রিপু; খগেন্দ্র নগেন্দ্র-বৈরী, তাঁর মায়াছলে রাঘব রাবণ-অরি— দোষিব কাহারে?”",0,
MMD92,"প্রসাদ পাইয়া দূত চলিলা সত্বরে, যথায় রাক্ষসনাথ বসেন নীরবে, তিতিয়া বসন, মরি, নয়ন-আসারে, শোকার্ত্ত।",,
MMD93,"হেথায় আজ্ঞা দিলা নরপতি নেতৃবৃন্দে; রণসজ্জা ত্যজি কুতূহলে, বিরাম লভিলা সবে যে যার শিবিরে।",,
MMD94,"যথায় অশোকবনে বসেন বৈদেহী,— অতল-জলধিতলে, হায় রে, যেমতি বিরহে কমলাসতী; আইলা সরমা — রক্ষঃকুলরাজলক্ষ্মী রক্ষোবধূবেশে।",,
MMD95,বন্দি চরণারবিন্দ বসিলা ললনা পদতলে।,,
MMD96,মধুস্বরে সুধিলা মৈথিলী;— “কহ মোরে বিধুমুখি!,,
MMD97,কেন হাহাকারে এ দুদিন পুরবাসী?,,
MMD98,"শুনিনু সভয়ে রণনাদ সারাদিন কালি রণভূমে; কাঁপিল সঘনে বন, ভূকম্পনে যেন, দূর বীরপদভরে; দেখিনু আকাশে অগ্নিশিখাসম শর; দিবা-অবসানে, জয়নাদে রক্ষঃসৈন্য পশিল নগরে, বাজিল রাক্ষসবাদ্য গম্ভীর-নিক্কণে।",,
MMD99,কে জিনিল?,,
MMD100,কে হারিল?,,
MMD101,"কহ ত্বরা করি, সরমে!",,
MMD102,"আকুল মন, হায় লো, না মানে প্রবোধ।",,
MMD103,"না জানি, হেথা জিজ্ঞাসি কাহারে?",,
MMD104,না পাই উত্তর যদি সুধি চেড়ীদলে।,,
MMD105,"বিকটা ত্রিজটা, সখি, লোহিতলোচনা, করে খরশাণ অসি, চামুণ্ডারূপিণী, আইল কাটিতে মোরে গত নিশাকালে, ক্রোধে অন্ধা!",,
MMD106,"আর চেড়ী রোধিল তাহারে, বাঁচিল এ পোড়া প্রাণ তেঁই, সুকেশিনি!",,
MMD107,এখনও কাঁপে হিয়া স্মরিলে দুষ্টারে।”,,
MMD108,"কহিলা সরমা—সতী সুমধুর ভাষে;— “তব ভাগ্যে, ভাগ্যবতি!",,
MMD109,হতজীব রণে ইন্দ্রজিৎ।,,
MMD110,তেঁই লঙ্কা বিলাপে এরূপে দিবানিশি।,,
MMD111,"এত দিনে গতবল, দেবি!",,
MMD112,কর্ব্বুর-ঈশ্বর বলী।,,
MMD113,কাঁদে মন্দোদরী; রক্তঃকুলনারীকুল আকুল বিষাদে; নিরানন্দ রক্ষোরথী।,,
MMD114,"তব পুণ্যবলে, পদ্মাক্ষি, দেবর তব লক্ষ্মণ সুরথী দেবের অসাধ্য কর্ম্ম সাধিলা সংগ্রামে,— বধিলা বাসবজিতে—অজেয় জগতে!”",,
MMD115,"উত্তরিলা প্রিয়ম্বদা;—“সুবচনী তুমি মম পক্ষে, রক্ষোবধু!",,
MMD116,সদা লো এ পুরে।,,
MMD117,ধন্য বীর-ইন্দ্র-কুলে সৌমিত্রি-কেশরী।,,
MMD118,"শুভক্ষণে হেন পুত্ত্রে সুমিত্রা-শাশুড়ী, ধরিলা সুগর্ভে, সই; এতদিনে বুঝি কারাগারদ্বার মম খুলিলা বিধাতা কৃপায়।",,
MMD119,একাকী এবে রাবণ দুর্ম্মতি মহারথী লঙ্কাধামে।,,
MMD120,দেখিব কি ঘটে— দেখিব আর কি দুঃখ আছে এ কপালে?,,
MMD121,কিন্তু শুন কাণ দিয়া!,,
MMD122,"ক্রমশঃ বাড়িছে হাহাকার–ধ্বনি, সখি।”",,
MMD123,"কহিলা সরমা সুবচনী;—“কর্ব্বরেন্দ্র রাঘবেন্দ্র-সহ করি সন্ধি, সিন্ধুতীরে লইছে তনয়ে প্রেতক্রিয়াহেতু, সতি!",,
MMD124,"সপ্ত দিবানিশি না ধরিবে অস্ত্র কেহ এ রাক্ষসদেশে বৈরিভাবে—এ প্রতিজ্ঞা করিলা নৃমণি রাবণের অনুরোধে; দয়াসিন্ধু, দেবি!",,
MMD125,রাঘবেন্দ্র।,,
MMD126,"দৈত্যবালা প্রমীলা-সুন্দরী, বিদরে হৃদয়, সাধ্বি!",,
MMD127,"স্মরিলে সে কথা, প্রমীলা-সুন্দরী ত্যজি দেহ দাহস্থলে, পতির উদ্দেশে সতী, পতিপরায়ণা, যাবে স্বর্গপুরে আজি।",,
MMD128,"হর-কোপানলে, হে দেবি!",,
MMD129,"কন্দর্প যবে মরিলা পুড়িয়া, মরিলা কি রতি-সতী প্রাণনাথে ল’য়ে?",,
MMD130,কাঁদিলা রাক্ষসবধূ তিতি অশ্রুনীরে শোকাকুলা।,,
MMD131,"ভবতলে মূর্ত্তিমতী দয়া সীতারূপে, পরদুঃখে কাতর সতত, কহিলা—সজল আঁখি, সম্ভাষি সখীরে;— “কুক্ষণে জনম মম, সরমা রাক্ষসি!",,
MMD132,"সুখের প্রদীপ, সখি!",,
MMD133,"নিবাই লো সদা প্রবেশি যে গৃহে হায়, অমঙ্গলারূপী আমি।",,
MMD134,পোড়া ভাগ্যে এই লিখিলা বিধাতা!,,
MMD135,"নরোত্তম পতি মম, দেখ, বনবাসী, বনবাসী, সুলক্ষণে!",,
MMD136,দেবর সুমতি লক্ষ্মণ!,,
MMD137,"ত্যজিলা প্রাণ পুত্ত্রশোকে, সখি!",,
MMD138,শ্বশুর।,,
MMD139,"অযোধ্যাপুরী আঁধার লো এবে, শূন্য রাজসিংহাসন!",,
MMD140,"মরিলা জটায়ু, বিকট বিপক্ষ-পক্ষে ভীম-ভুজবলে, রক্ষিতে দাসীর মান।",,
MMD141,"হ্যাদে দেখ হেথা,— মরিল বাসবজিৎ অভাগীর দোষে, আর রক্ষোরথী যত, কে পারে গণিতে?",,
MMD142,মরিবে দানব-বালা অতুলা এ ভবে সৌন্দর্য্যে!,,
MMD143,"বসন্তারম্ভে, হায় লো, শুকাল হেন ফুল!”",,
MMD144,"“দোষ তব,”— সুধিলা সরমা, মুছিয়া নয়ন-জল— “কহ কি, রূপসি?",,
MMD145,"কে ছিঁড়ি আনিল হেথা এ স্বর্ণব্রততী, বঞ্চিয়া রসালরাজে?",,
MMD146,কে আনিল তুলি রাঘব–মানস-পদ্ম এ রাক্ষস-দেশে?,,
MMD147,নিজ-কর্ম্মদোষে মজে লঙ্কা অধিপতি!,,
MMD148,আর কি কহিবে দাসী?”,,
MMD149,কাঁদিলা সরমা শোকে!,,
MMD150,রক্ষঃকুল-শোকে সে অশোক-বনে কাঁদিলা রাঘব-বাঞ্ছা— দুঃখী পর-দুঃখে!,,
MMD151,খুলিল পশ্চিম-দ্বার অশনি-নিনাদে।,,
MMD152,"বাহিরিল লক্ষ রক্ষঃ স্বর্ণ-দণ্ড করে, কৌষিক-পতাকা তাহে উড়িছে আকাশে!",,
MMD153,রাজ-পথ-পার্শ্বদ্বয়ে চলে সারি সারি নীরবে পতাকিকুল।,,
MMD154,"সর্ব্বাগ্রে দুন্দুভি করিপৃষ্ঠে, পূরে দেশ গম্ভীর-আরবে।",,
MMD155,"পদব্রজে পদাতিক কাতারে কাতারে; বাজিরাজী সহ গজ; রথিবৃন্দ রথে মৃদুগতি, বাজে বাদ্য সকরুণ ক্কণে।",,
MMD156,"যত দূর চলে দৃষ্টি, চলে সিন্ধুমুখে নিরানন্দে রক্ষোদল!",,
MMD157,ঝক ঝক ঝকে স্বর্ণ-বর্ম্ম ধাঁধি আঁখি!,,
MMD158,"রবি-কর-তেজে শোভে-হৈমধ্বজদণ্ড; শিরোমণি শিরে; অসিকোষ সারসনে; দীর্ঘ শূল হাতে;— বিগলিত অশ্রুধারা, হায় রে, নয়নে!",,
MMD159,"বাহিরিল বীরাঙ্গনা (প্রমীলার দাসী) পরাক্রমে ভীমাসমা, রূপে বিদ্যাধরী, রণ-বেশে—কৃষ্ণ-হয়ে নৃমুণ্ডমালিনী,— মলিন-বদন, মরি শশিকলাভাবে নিশা যথা!",,
MMD160,"অবিরল ঝরে অশ্রু-ধারা, তিতি বস্ত্র, তিতি অশ্ব, তিতি বসুধারে!",,
MMD161,"উচ্ছ্বাসিছে কোন বামা; কেহ বা কাঁদিছে নীরবে; চাহিছে কেহ রঘুসৈন্যপানে অগ্নিময় আঁখি রোষে, বাঘিনী যেমতি (জালাবৃত) ব্যাধবর্গে হেরিয়া অদূরে!",,
MMD162,"হায় রে কোথা সে হাসি— সৌদামিনী ছটা, কোথা সে কটাক্ষ-শর, কামের সমরে সর্ব্বভেদী?",,
MMD163,"চেড়ীবৃন্দ-মাঝারে বড়বা, শূন্যপৃষ্ঠ, শোভাশূন্য, কুসুম-বিহনে বৃন্ত যথা!",,
MMD164,"ঢুলাইছে চামর চৌদিকে কিঙ্করী, চলিছে সঙ্গে বামাব্রজ কাঁদি পদব্রজে; কোলাহল উঠিছে গগনে।",,
MMD165,"প্রমীলার বীর-বেশ শোভে ঝলমলে বড়বার পৃষ্ঠে—অসি, চর্ম্ম, তৃণ, ধনুঃ; কিরীট, মণ্ডিত মরি, অমূল্য রতনে!",,
MMD166,সারসন মণিময়; কবচ খচিত সুবর্ণে—মলিন দোঁহে।,,
MMD167,"সারসন স্মরি, হায় রে, সে সরু কটি!",,
MMD168,কবচ ভাবিয়া সে সু-উচ্চ কুচ-যুগে— গিরিশৃঙ্গ সমা!,,
MMD169,"ছড়াইছে খই, কড়ি, স্বর্ণমুদ্রা-আদি অর্থ, দাসী; সকরুণে গাইছে গায়কী; পেশল-উরস হানি কাঁদিছে রাক্ষসী।",,
MMD170,"বাহিরিল মৃদুগতি রথবৃন্দ-মাঝে রথবর ঘনবর্ণ, বিজলীর ছটা চক্রে; ইন্দ্রচাপরূপী ধ্বজ চূড়দেশে;— কিন্তু কান্তিশূন্য আজি, শূন্যকান্তি যথা প্রতিমাপঞ্জর, মরি, প্রতিমাবিহনে বিসর্জ্জন-অন্তে।",,
MMD171,"কাঁদে ঘোর কোলাহলে রক্ষোরথী, ক্ষণ বক্ষঃ হানি মহাক্ষেপে হতজ্ঞান!",,
MMD172,"রণমধ্যে শোভে ভীম-ধনুঃ, তূণীর, ফলক, খড়্গ, শঙ্খ, চক্র, গদা— আদি অস্ত্র; সুকবচ;সৌরকর-রাশি— সদৃশ কিরীট; আর বীর-ভূষা যত।",,
MMD173,সকরুণ গীতে গীতী গাইছে কাঁদিয়া রক্ষোদুঃখ!,,
MMD174,"স্বর্ণমুদ্রা ছড়াইছে কেহ, ছড়ায় কুসুম যথা নড়ি ঘোর ঝড়ে তরু।",,
MMD175,"সুবাসিত জল ঢালে জলবহ, দমি উচ্চগামী রেণু, বিরত সহিতে পদভর।",,
MMD176,চলে রথ সিন্ধু-তীর-মুখে।,,
MMD177,"সুবর্ণ-শিবিকাসনে, আবৃত কুসুমে, বসেন শবের পাশে প্রমীলা-সুন্দরী,— মর্ত্ত্যে রতি মৃত-কামসহ সহগামী!",,
MMD178,"ললাটে সিন্দুরবিন্দু, গলে ফুলমালা; কঙ্কণ মৃণালভুজে; বিবিধ ভূষণে ভূষিতা রাক্ষসবধূ।",,
MMD179,ঢুলাইছে কাঁদি চামরিণী সুচামর; কাঁদি ছড়াইছে ফুলরাশি বামাবৃন্দ।,,
MMD180,"আকুল বিষাদে, রক্ষঃকুল-নারীকুল কাঁদে হাহারবে।",,
MMD181,"হায় রে, কোথা সে জ্যোতিঃ ভাতিত যে সদা মুখচন্দ্রে?",,
MMD182,"কোথা, মরি, সে সুচারু হাসি, মধুর অধরে নিত্য শোভিত যে, যথা দিনকরকররাশি তোর বিম্বাধরে, পঙ্কজিনি?",,
MMD183,মৌনব্রতে ব্রতী বিধুমুখী— পতির উদ্দেশে প্রাণ ও বরাঙ্গ ছাড়ি গেছে যেন যথা পতি বিরাজেন এবে!,,
MMD184,"শুকাইলে তরুরাজ, শুকায় রে লতা, স্বয়ম্বরা বধূ ধনী।",,
MMD185,"কাতারে কাতারে, চলে রক্ষোরথী সাথে, কোষশূন্য অসি করে, রবিকর তাহে ঝলে ঝলঝলে, কাঞ্চন-কঞ্চুকবিভা নয়ন ঝলসে!",,
MMD186,"উচ্চে উচ্চারয়ে বেদ বেদজ্ঞ চৌদিকে; বহে হবির্ব্বহ হোত্রী মহামন্ত্র জপি; বিবিধ ভূষণ, বস্ত্র, চন্দন, কস্তুরী, কেশর, কুঙ্কুম, পুষ্প বহে রক্ষোবধূ স্বর্ণপাত্রে; স্বর্ণকুম্ভে পূত অম্ভোরাশি গাঙ্গেয়; সুবর্ণদীপ দীপে চারিদিকে।",,
MMD187,"বাজে ঢাক, বাজে ঢোল, কাড়া কড়কড়ে বাজে করতাল, বাজে মৃদঙ্গ, তুম্বকী; বাজিছে ঝাঁঝরী, শঙ্খ; দেয় হুলাহুলি সধবা রাক্ষসনারী আর্দ্র অশ্রুনীরে— হায় রে, মঙ্গলধ্বনি অমঙ্গল দিনে!",,
MMD188,"বাহিরিলা পদব্রজে রক্ষঃকুলরাজা রাবণ;—বিশদ-বস্ত্র, বিশদ-উত্তরী, ধুতূরার মালা যেন ধূর্জ্জটির গলে; চারিদিকে মন্ত্রিদল নতভাবে।",,
MMD189,"নীরব কর্ব্বু র-পতি অশ্রুপূর্ণ-আঁখি, নীরব সচিববৃন্দ, অধিকারী যত রক্ষঃশ্রেষ্ঠ।",,
MMD190,"বাহিরিল কাঁদিয়া পশ্চাতে রক্ষোপুরবাসী রক্ষঃ—আবাল-বনিতা– বৃদ্ধ; শূন্য করি পুরী, আঁধার রে এবে গোকুলভবন যথা শ্যামের বিহনে!",,
MMD191,"ধীরে ধীরে সিন্ধুমুখে, তিতি অশ্রুনীরে, চলে সবে, পূরি দেশ বিষাদ-নিনাদে!",,
MMD192,"কহিলা অঙ্গদে প্রভু সুমধুর–স্বরে,— “দশ শত রথী সঙ্গে যাও মহাবলী যুবরাজ!",,
MMD193,"রক্ষঃসহ মিত্রভাবে তুমি, সিন্ধুতীরে।",,
MMD194,"সাবধানে যাও, হে সুরথি!",,
MMD195,আকুল পরাণ মম রক্ষঃকুলশোকে!,,
MMD196,"এ বিপদে পরাপর নাহি ভাবি মনে, কুমার!",,
MMD197,"লক্ষ্মণশূরে হেরি পাছে রোষে, পূর্ব্ব-কথা স্মরি মনে কর্ব্বুরাধিপতি, যাও তুমি, যুবরাজ!",,
MMD198,"রাজচুড়ামণি, পিতা তব বিমুখিলা সমরে রাক্ষসে, শিষ্টাচারে, শিষ্টাচার, তোষ তুমি তারে!”",,
MMD199,দশ শত রথী সাথে চলিলা সুরথী অঙ্গদ সাগরমুখে।,,
MMD200,"আইলা আকাশে দেবকুল;—ঐরাবতে দেবকুলপতি, সঙ্গে বরাঙ্গনা শচী অনন্তযৌবনা, শিখিধ্বজে শিখিধ্বজ স্কন্দ তারকারি সেনানী; চিত্রিত রথে চিত্ররথ রথী; মৃগে বায়ুকুলরাজ; ভীষণ মহিষে কৃতান্ত; পুষ্পকে যক্ষ, অলকার পতি;— আইলা রজনীকান্ত শান্ত সুধানিধি, মলিন তপনতেজে; আইলা সুহাসী অশ্বিনীকুমারযুগ, আর দেব যত।",,
MMD201,"আইলা সুরসুন্দরী, গন্ধর্ব্ব, অপ্সরা, কিন্নর, কিন্নরী।",,
MMD202,রঙ্গে বাজিল অম্বরে দিব্য বাদ্য।,,
MMD203,"দেব-ঋষি আইলা কৌতুকে, আর আর প্রাণী যত ত্রিদিবনিবাসী।",,
MMD204,"উতরি সাগরতীরে, রচিলা সত্বরে যথাবিধি চিতা রক্ষঃ, বহিল বাহকে সুগন্ধ চন্দনকাষ্ঠ, ঘৃত ভারে ভারে।",,
MMD205,"মন্দাকিনী-পূত-জলে ধুইয়া যতনে শবে, সুকৌষিক–বস্ত্র পরাই, থুইল দাহস্থানে রক্ষোদল; পড়িলা গম্ভীরে মন্ত্র রক্ষঃ-পুরোহিত।",,
MMD206,"অবগাহি দেহ মহাতীর্থে সাধ্বী—সতী প্রমীলা—সুন্দরী খুলি রত্ন-আভরণ, বিতরিলা সবে।",,
